Open,High,Low,Close,Volume
105.5,109.97,103.53,109.92,27355400
109.42,111.21,105.14,105.8,32547700
107.03,108.72,103.75,108.41,25795900
104.63,105.32,101.83,103.09,25025600
96.12,99.79,95.0,97.76,38159400
87.35,89.76,84.12,84.52,40352000
89.55,91.61,85.55,91.09,31102700
88.37,90.5,85.52,86.8,38127000
81.04,87.7,78.08,79.64,49725200
86.83,94.06,83.22,93.99,38543300
77.07,85.01,76.48,79.93,38589700
82.21,88.14,79.15,84.81,35239800
79.3,82.12,72.69,75.88,41525600
73.77,79.7,69.57,77.16,32175100
78.06,80.92,74.61,75.53,30150800
74.79,75.76,70.64,71.49,32536600
76.8,81.5,74.99,79.99,34363200
80.72,86.07,76.47,82.97,38111700
85.1,89.16,84.61,88.75,29826300
84.29,85.79,81.91,82.43,30041500
82.0,85.11,80.78,84.57,21656900
83.26,85.18,80.81,81.44,23379300
76.98,78.3,75.3,76.31,28029600
75.54,79.52,75.04,79.16,24018000
78.6,79.95,75.65,76.82,21199400
81.33,83.16,80.15,81.76,26820800
86.32,86.37,82.6,82.84,22563800
84.17,86.7,82.76,86.18,22903300
88.58,95.41,88.55,93.92,42055900
94.24,94.24,88.93,89.74,26911900
92.33,93.22,85.58,87.28,46151300
83.31,84.11,82.37,82.98,30118600
82.47,82.78,79.56,79.81,32449600
84.08,87.46,83.13,86.99,30191900
84.51,86.56,82.68,83.82,23679400
80.99,83.52,80.73,81.39,23035000
82.89,83.96,81.51,81.65,16662400
82.02,83.42,81.58,81.7,16638800
82.84,83.26,80.87,82.9,15809200
84.03,87.4,83.66,86.48,22870200
89.39,89.9,86.85,87.09,20238900
90.55,90.89,88.9,89.44,20462600
87.37,88.51,86.41,87.52,19127600
85.45,85.67,83.94,85.23,18547700
84.1,84.69,82.99,84.21,15725900
85.59,86.1,83.99,84.08,18064100
84.23,84.78,82.19,82.5,20978000
83.48,84.91,82.78,83.36,16771900
84.81,85.98,84.18,84.72,20487800
83.27,83.27,81.64,82.23,31907600
82.39,82.98,79.42,79.54,27962900
78.95,79.38,76.22,76.8,35451600
75.6,80.53,75.31,79.99,35152500
79.38,79.77,77.96,78.51,26099000
81.06,83.31,80.32,82.67,30504400
82.3,83.35,80.97,81.04,19597300
82.9,84.44,82.59,83.47,20552400
82.5,83.86,81.95,82.41,14621400
82.26,82.58,81.08,81.77,13557900
84.9,89.11,84.64,87.57,41233900
93.29,93.75,90.3,92.65,39402000
94.08,94.09,90.85,91.27,24713900
90.17,90.64,88.45,88.94,26526400
89.34,90.95,89.0,90.11,15176800
91.65,91.78,89.5,90.42,21195000
92.84,95.89,92.36,95.3,25941100
94.89,97.44,93.94,97.28,26784700
105.04,105.81,100.1,101.66,42231000
103.65,104.36,102.31,103.69,24881800
101.13,102.02,99.63,101.03,17031100
100.95,101.0,96.74,96.93,24913300
91.42,92.84,88.23,88.84,36259200
92.04,92.43,88.95,91.28,24856800
